Monthly_Income,Credit_History,Monthly_Repayment,Employment,Repay_Loan
4259.285,0.82,1401.468333,Self-Employed,1
6202.435833,0.55,1015.703333,Employed,1
2441.54,0.97,1450.166667,Employed,1
2037.438333,0.05,2998.781667,Employed,0
4097.231667,0.5,2335.106667,Employed,1
4646.748333,0.72,2385.186667,Employed,0
4125.798333,0.86,486.4775,Employed,1
1666.666667,0.18,707.3716667,Employed,1
4055.266667,0.8,0,Employed,1
2536.08,0.55,992.1825,Employed,1
5003.7575,0.4,2463.919167,Employed,1
4624.914167,0.13,2097.455833,Self-Employed,1
2991.816667,0.87,1482.0725,Self-Employed,1
3524.333333,0.16,1648.083333,Self-Employed,1
2842.65,0.31,1092.595,Employed,1
4088.3175,0.29,1837.299167,Employed,1
5360.594167,0.87,2304.898333,Employed,1
2934.509167,0.67,320.0941667,Employed,1
4796.725,0.8,1916.373333,Employed,1
3503.845,0.25,2443.695833,Employed,1
3175.575833,0.62,1320.75,Unemployed,1
4032.878333,0.57,2250.584167,Employed,1
2872.614167,0.83,4012.211667,Employed,0
3474.605,0.91,1579.714167,Self-Employed,1
2669.319167,0.01,1994.4225,Employed,0
6622.573333,0.67,1051.619167,Self-Employed,1
4210.745833,0.05,1817.709167,Self-Employed,0
3292.01,0.55,2050.226667,Unemployed,0
4434.141667,0.29,1829.035,Employed,0
4026.256667,0.31,816.9208333,Employed,1
3890.455,0.35,1838.635,Employed,1
4934.375,0.62,2885.163333,Employed,1
5113.551667,0.33,2040.53,Employed,1
3503.54,0.73,2468.3225,Employed,1
3446.894167,0.4,1469.156667,Employed,1
3822.851667,0.07,2291.583333,Employed,0
1666.666667,0.78,1899.39,Self-Employed,0
2272.6775,0.29,874.2408333,Self-Employed,1
5875.259167,0.43,1932.100833,Employed,1
6222.876667,0.69,840.2525,Employed,1
3855.371667,0.33,1139.266667,Self-Employed,1
4887.3625,0.06,1824.44,Employed,1
4555.729167,0.37,1914.37,Self-Employed,1
8015.2675,0.94,675.64,Unemployed,1
5566.135,0.64,2544.988333,Employed,1
4006.77,0.67,2143.338333,Self-Employed,1
2972.240833,0.63,1079.393333,Employed,1
2158.609167,0.2,385.3458333,Employed,1
4420.995833,0.42,1545.9125,Employed,1
3221.228333,0.75,1295.046667,Employed,1
2388.849167,0.1,1760.95,Self-Employed,0
3358.450833,0.28,1364.069167,Employed,1
2814.731667,0.28,0,Employed,1
6275.593333,0.43,1343.044167,Employed,1
5268.716667,0.98,1411.984167,Self-Employed,1
4156.700833,0.07,2194.7175,Unemployed,0
6016.596667,0.52,1084.833333,Self-Employed,1
4263.376667,0.18,3065.5625,Employed,0
3090.061667,0.97,73.6325,Employed,1
6070.571667,0.11,2759.305833,Employed,1
4840.304167,0.4,1479.734167,Employed,1
2870.109167,0.74,2382.9875,Employed,0
3928.743333,0.7,1733.1675,Employed,1
3072.144167,0.42,2616.296667,Employed,0
2438.166667,0.35,1343.865,Self-Employed,1
5324.388333,0.4,751.15,Employed,1
6553.4375,0.26,2850.42,Employed,1
2418.4575,0.21,1572.099167,Employed,1
4870.378333,0.48,1851.298333,Self-Employed,1
3353.363333,0.27,2695.626667,Self-Employed,0
3557.76,0.29,806.7041667,Self-Employed,1
3426.174167,0.66,2162.909167,Employed,1
3086.678333,0.97,1175.0875,Unemployed,1
4227.318333,0.6,1556.525833,Employed,1
3127.979167,0.08,1726.899167,Employed,1
4504.7375,0.08,416.4816667,Unemployed,1
4103.869167,0.95,1017.635833,Employed,1
3867.981667,0.3,2792.560833,Employed,0
3032.2125,0.09,2405.159167,Employed,1
3445.7025,0.6,1614.466667,Employed,1
5110.905833,0.62,1869.269167,Unemployed,1
4792.813333,0.65,1421.464167,Employed,1
2944.7225,0.27,2797.1525,Employed,0
4290.831667,0.02,1499.705833,Employed,1
5105.900833,0.97,1859.868333,Employed,1
2079.91,0.25,2621.691667,Employed,0
4845.866667,0.68,1018.8575,Employed,1
3338.386667,0.71,2965.6575,Employed,0
4879.915,0.61,391.2825,Employed,1
3212.5925,0.31,3024.701667,Unemployed,0
1910.564167,0.27,1356.103333,Employed,1
2132.238333,0.6,1464.4175,Employed,0
4226.7725,0.87,91.65833333,Employed,1
4491.32,0.95,1287.670833,Employed,1
3036.270833,0.11,800.1608333,Self-Employed,0
4964.9075,0.15,1160.295,Unemployed,1
2089.766667,0.94,1552.240833,Employed,1
4084.066667,0.74,2464.826667,Self-Employed,1
2652.896667,0.88,1839.669167,Employed,1
3351.871667,0.2,1923.064167,Employed,1
4225.915,0.59,753.7341667,Employed,1
3091.15,0.7,932.705,Employed,1
3685.9725,0.68,3165.604167,Employed,0
5424.5325,0.41,1053.999167,Self-Employed,1
3445.551667,0.02,3046.84,Employed,0
5211.281667,0.58,1464.115833,Unemployed,1
2754.533333,0.25,1668.573333,Self-Employed,1
4828.921667,0.45,2558.6375,Employed,1
5968.6275,0.96,2726.576667,Employed,1
1666.666667,0.4,1574.3225,Employed,1
3170.5475,0.84,1343.130833,Unemployed,1
4888.006667,0.19,1620.066667,Employed,1
3912.86,0.67,1948.298333,Employed,1
4630.599167,0.98,2409.42,Employed,1
3411.685,0.1,1670.191667,Employed,1
4274.904167,0.01,2182.405,Employed,1
3972.07,0.43,3031.966667,Employed,0
5626.394167,0.09,1984.425,Employed,1
4484.6925,0.75,1926.3775,Employed,1
4588.67,0.91,400.9075,Employed,1
3651.820833,0.43,0,Employed,1
3557.159167,0.26,1990.313333,Employed,1
3625.969167,0.43,1587.646667,Employed,1
4659.731667,0.72,1237.680833,Employed,1
3640.435833,0.01,1869.608333,Employed,1
4528.885,0.59,1616.33,Employed,1
6760.9175,0.61,2606.483333,Employed,1
5255.5725,0.64,1738.425833,Employed,1
3759.1375,0.24,1044.230833,Employed,1
5668.184167,0.71,2491.805,Employed,1
3656.5725,0.09,1485.724167,Self-Employed,1
1666.666667,0.2,2105.4475,Self-Employed,0
2906.559167,0.88,1268.824167,Self-Employed,1
1828.176667,0.74,1125.144167,Self-Employed,0
3727.275,0.01,1736.806667,Employed,1
4189.69,0.25,1677.3575,Employed,1
6262.213333,0.21,2066.5225,Employed,1
4575.325833,0.27,1442.795,Employed,1
3892.790833,0.25,136.3666667,Employed,1
5203.423333,0.06,1306.021667,Self-Employed,1
1666.666667,0.46,2328.181667,Employed,0
4461.185,0.73,1418.853333,Employed,1
5130.248333,0.61,1461.3475,Employed,1
2318.434167,0.67,2488.6475,Employed,0
5596.359167,0.08,1073.355833,Employed,1
4589.7875,0.95,380.9975,Self-Employed,1
3647.556667,0.84,1532.8075,Employed,1
4957.644167,0.81,1263.188333,Self-Employed,1
7005.0325,0.82,861.4616667,Employed,1
4393.999167,0.93,1520.518333,Self-Employed,1
4476.9425,0.54,2076.255,Employed,1
3592.465833,0.2,1658.925833,Employed,1
3104.360833,0.62,1922.484167,Employed,1
5204.586667,0.74,3177.84,Self-Employed,0
3096.561667,0.74,1380.934167,Unemployed,1
4256.124167,0.52,1898.624167,Employed,1
3569.595,0.07,1242.3225,Employed,1
4765.391667,0.37,961.3666667,Unemployed,1
4583.744167,0.92,1179.243333,Employed,1
5463.591667,0.58,1267.700833,Employed,1
3529.145833,0.54,1966.23,Employed,1
3829.323333,0.27,3624.23,Employed,0
2943.211667,0.37,1069.964167,Self-Employed,1
3611.3,0.9,1319.479167,Self-Employed,1
4638.2925,0.67,1614.064167,Employed,1
5112.9025,0.79,1996.499167,Employed,1
3013.96,0.45,1886.2925,Self-Employed,0
5253.674167,0.63,2736.746667,Employed,0
5861.214167,0.25,0,Self-Employed,1
4683.46,0.71,0,Employed,1
6512.661667,0.43,1253.435,Employed,1
3199.43,0.44,2581.083333,Unemployed,0
2610.848333,0.65,361.96,Employed,1
1943.266667,0.94,0,Employed,1
6036.721667,0.06,2142.649167,Employed,1
4984.623333,0.82,1869.714167,Employed,1
4097.185833,0.29,758.16,Employed,1
4516.6275,0.44,845.3833333,Unemployed,1
2759.805,0.02,858.5466667,Self-Employed,1
7223.856667,0.3,1758.779167,Employed,1
4328.193333,0.5,1144.7375,Employed,1
4303.41,0.06,2078.386667,Employed,1
5073.875,0.49,0,Employed,1
4767.928333,0.93,952.6233333,Employed,1
4446.521667,0.11,728.2883333,Self-Employed,1
3178.573333,0.76,1453.049167,Employed,1
4756.0025,0.41,1218.293333,Self-Employed,1
6519.1975,0.66,2331.536667,Employed,1
5848.441667,0.26,117.2191667,Employed,1
6158.15,0.16,1704.575833,Employed,1
3527.646667,0.16,2131.946667,Employed,1
2929.660833,0.07,3213.8725,Employed,0
