Age,Gender,Monthly_Income,Credit_History,Monthly_Repayment,Employment,Loan_Status
20,Male,3452.693333,1,1283.619167,Unemployed,0
27,Male,3497.6225,5,2758.493333,Employed,0
54,Male,6760.7425,3,3029.221667,Self-Employed,0
53,Female,3305.181667,8,2759.744167,Unemployed,0
40,Female,2080.936667,5,3105.189167,Employed,0
50,Male,3562.683333,4,1963.544167,Employed,0
35,Male,3478.785,2,2197.770833,Employed,0
60,Male,3327.1375,3,3013.583333,Employed,0
65,Female,1992.024167,1,2186.1725,Self-Employed,0
64,Male,2767.079167,8,3462.440833,Unemployed,0
25,Female,2548.315,4,1403.919167,Self-Employed,0
73,Male,4108.015833,8,2901.634167,Employed,0
20,Male,2220.939167,3,1131.944167,Employed,0
31,Male,3631.5225,3,3054.46,Employed,0
22,Female,4065.770833,5,2221.140833,Unemployed,0
34,Male,2866.784167,2,1501.503333,Employed,0
28,Male,4354.69,1,2147.803333,Unemployed,0
38,Male,4965.079167,2,2008.03,Employed,0
36,Male,2737.910833,1,1964.144167,Self-Employed,0
28,Male,1666.666667,3,2079.8375,Employed,0
49,Female,1666.666667,3,2586.611667,Unemployed,0
72,Male,2429.700833,0,1470.069167,Unemployed,0
21,Male,3815.8225,2,1874.623333,Employed,0
49,Male,2930.9275,1,2524.510833,Employed,0
69,Male,2787.18,1,2330.585,Employed,0
23,Female,2938.5575,3,1646.4725,Employed,0
68,Female,2175.424167,8,3962.681667,Self-Employed,0
38,Male,4958.8875,6,2216.209167,Employed,0
30,Male,3935.0575,3,1922.788333,Employed,0
44,Female,3162.073333,0,1614.46,Employed,0
67,Male,3474.681667,1,2331.6625,Self-Employed,0
74,Male,3692.756667,1,2390.644167,Self-Employed,0
73,Male,3439.565833,2,2156.546667,Self-Employed,0
64,Male,2898.220833,1,2183.115833,Employed,0
50,Female,4458.899167,5,2792.376667,Unemployed,0
22,Male,1674.4975,3,2237.991667,Self-Employed,0
57,Male,4096.955,4,2066.134167,Employed,0
21,Female,4261.673333,1,3790.841667,Employed,0
18,Male,2399.523333,6,3619.711667,Employed,0
34,Male,4333.5925,8,4230.716667,Employed,0
34,Female,1871.41,5,549.94,Employed,0
20,Male,1666.666667,1,2473.188333,Employed,0
32,Male,4568.789167,6,2196.64,Employed,0
43,Male,2526.871667,3,2440.205,Employed,0
54,Female,2835.275,1,1252.89,Employed,0
62,Male,4774.793333,2,1798.311667,Unemployed,0
62,Male,2654.548333,2,2792.595,Self-Employed,0
62,Male,2310.544167,4,2119.4925,Self-Employed,0
20,Female,2458.068333,2,2485.569167,Employed,0
53,Female,3446.028333,9,3123.4475,Employed,0
74,Female,4890.780833,3,2710.944167,Self-Employed,0
25,Male,4316.1425,0,2324.933333,Employed,0
20,Male,3000.081667,4,2550.075,Employed,0
73,Female,2149.715,4,1924.205833,Unemployed,0
73,Female,3319.5225,4,2405.9,Unemployed,0
49,Female,3710.015,1,2137.368333,Unemployed,0
52,Female,4397.516667,4,3029.831667,Unemployed,0
23,Male,3220.6725,1,1625.8625,Unemployed,0
38,Female,2389.403333,2,2259.509167,Employed,0
19,Female,6043.333333,9,4260.758333,Unemployed,0
26,Male,4237.933333,0,2540.4025,Employed,0
18,Male,2787.655833,9,3368.481667,Employed,0
23,Female,3890.1,4,1796.104167,Unemployed,0
66,Female,3957.764167,2,3564.238333,Employed,0
36,Male,3352.470833,1,3661.968333,Self-Employed,0
56,Female,3505.895833,5,3487.579167,Employed,0
35,Male,1965.713333,2,2559.234167,Employed,0
55,Male,5778.8575,4,2601.551667,Self-Employed,0
42,Male,2636.294167,1,1959.304167,Employed,0
67,Male,3905.3875,0,1951.383333,Unemployed,0
51,Male,1965.655833,10,2530.965833,Employed,0
18,Female,2259.596667,10,1945.365833,Employed,0
32,Male,1833.495833,2,1731.765,Self-Employed,0
60,Female,4014.4825,3,1834.710833,Employed,0
22,Female,2704.270833,1,1791.331667,Employed,0
56,Male,4543.906667,5,2274.1175,Self-Employed,0
47,Male,3069.188333,6,2528.234167,Self-Employed,0
64,Male,4625.873333,2,1769.566667,Employed,0
63,Male,3827.7625,1,1937.981667,Employed,0
65,Male,2896.889167,3,1321.144167,Unemployed,0
65,Female,5296.585,1,1972.925,Self-Employed,0
50,Male,1666.666667,1,2533.6925,Employed,0
63,Female,3256.663333,4,3109.308333,Employed,0
55,Female,3359.211667,1,2130.018333,Employed,0
61,Male,4320.004167,3,2524.534167,Employed,0
62,Female,3941.066667,6,3651.428333,Employed,0
47,Female,3607.514167,9,1909.1375,Self-Employed,0
63,Female,4772.5825,3,3153.979167,Self-Employed,0
53,Male,3748.1975,7,4113.048333,Employed,0
48,Male,5398.829167,2,2668.814167,Unemployed,0
20,Male,3725.209167,2,2212.025833,Employed,0
63,Female,2908.488333,6,2349.4775,Employed,0
48,Female,4850.083333,5,3352.158333,Employed,0
21,Male,4136.4225,2,3823.2575,Employed,0
23,Female,2484.191667,4,2166.315,Self-Employed,0
26,Female,4324.640833,8,3015.656667,Employed,0
53,Male,4678.94,3,2768.953333,Employed,0
65,Female,1666.666667,1,2381.5825,Self-Employed,0
62,Male,2146.278333,1,1659.015,Employed,0
47,Male,1666.666667,4,788.4708333,Unemployed,0
19,Male,3388.355,6,1718.235833,Employed,0
65,Male,3301.140833,10,2990.783333,Employed,0
27,Female,3780.155,4,3809.995833,Unemployed,0
27,Female,5005.841667,1,3070.4375,Employed,0
67,Male,1912.741667,4,490.7858333,Unemployed,0
32,Male,2932.6925,4,2598.791667,Employed,0
59,Female,2737.009167,9,2469.9225,Employed,0
39,Female,3480.760833,2,1755.880833,Employed,0
73,Male,5180.176667,6,1759.071667,Employed,0
65,Male,1981.001667,0,743.24,Self-Employed,0
21,Male,2088.551667,6,2832.905,Employed,0
35,Male,3898.015,2,2216.375,Self-Employed,0
42,Male,3781.624167,1,2575.1525,Employed,0
70,Female,3463.956667,3,1911.281667,Employed,0
42,Female,4628.719167,6,3402.216667,Employed,0
72,Female,4345.345833,1,2999.559167,Unemployed,0
70,Female,3488.324167,1,2368.150833,Employed,0
22,Female,3809.161667,5,2188.781667,Employed,0
56,Male,3585.028333,2,2294.515833,Employed,0
23,Male,4551.73,8,2743.383333,Unemployed,0
74,Female,3704.653333,8,3750.75,Self-Employed,0
70,Female,4102.424167,1,2460.385,Self-Employed,0
18,Male,1950.375833,3,3074.324167,Self-Employed,0
39,Female,3422.09,3,1362.299167,Unemployed,0
54,Female,1666.666667,5,3363.228333,Employed,0
63,Female,4445.715,0,2773.380833,Employed,0
19,Female,3919.993333,6,1729.646667,Employed,0
23,Female,3977.575,4,2540.72,Unemployed,0
53,Male,5167.178333,1,3250.223333,Self-Employed,0
22,Male,5109.530833,1,2519.214167,Employed,0
62,Male,5652.808333,2,3036.285,Employed,0
21,Female,3235.538333,7,2950.27,Unemployed,0
49,Male,4717.254024,10,1991.55284,Self-Employed,0
25,Female,5004.474356,1,3376.920377,Self-Employed,0
23,Male,3959.62743,4,2162.105981,Unemployed,0
65,Female,1989.628353,2,2727.268623,Employed,0
34,Male,2697.633903,2,2928.50304,Self-Employed,0
48,Male,3970.40131,6,2817.785513,Unemployed,0
50,Male,4729.949133,10,1878.606208,Self-Employed,0
22,Female,2456.922273,1,2740.29089,Employed,0
67,Female,1827.161193,2,1693.960033,Self-Employed,0
49,Female,3320.61751,4,2506.359322,Unemployed,0
48,Female,2469.469654,1,1685.260691,Employed,0
65,Male,2722.668558,8,3582.429613,Unemployed,0
62,Female,3434.306832,6,2771.734504,Self-Employed,0
25,Female,3221.208131,3,3144.590519,Employed,0
38,Female,4182.278458,1,2898.743249,Unemployed,0
20,Male,3471.774544,9,3138.229673,Employed,0
60,Male,2754.042668,0,1989.151392,Self-Employed,0
19,Female,2587.856114,3,2767.073751,Employed,0
73,Male,2005.860393,6,2815.142423,Employed,0
20,Male,4203.667243,2,3952.044122,Employed,0
23,Female,1604.449309,6,1861.241379,Self-Employed,0
47,Male,4291.696609,0,1873.861395,Self-Employed,0
60,Male,5041.516588,6,2188.941872,Employed,0
42,Male,4828.723983,2,1750.083909,Unemployed,0
66,Female,5365.986768,1,3177.635158,Self-Employed,0
26,Male,2223.185644,4,2097.232718,Self-Employed,0
74,Female,3352.851368,2,2081.386862,Self-Employed,0
54,Female,2578.367051,3,4431.479,Employed,0
63,Male,2026.570653,0,3071.702958,Employed,0
66,Female,3438.955473,10,3047.82252,Employed,0
36,Male,3474.973309,6,2654.876731,Self-Employed,0
18,Female,1744.376146,6,3287.649653,Self-Employed,0
61,Female,4211.825073,7,2778.450164,Unemployed,0
27,Female,2884.355146,1,2380.24936,Employed,0
74,Female,3241.536869,7,3002.523155,Unemployed,0
72,Female,2870.021048,1,3367.375308,Employed,0
54,Female,4494.448134,0,3733.243617,Employed,0
71,Female,1699.270477,4,819.8727758,Unemployed,0
31,Female,1887.853313,3,3203.809028,Self-Employed,0
65,Female,3893.386912,5,3240.173714,Employed,0
42,Female,5121.94515,5,3139.567516,Unemployed,0
33,Female,4243.684375,1,2535.767112,Self-Employed,0
52,Female,4625.925468,2,1956.799506,Unemployed,0
23,Female,3935.445979,2,3483.314815,Employed,0
29,Female,1790.218047,7,1142.560334,Self-Employed,0
72,Female,4722.390529,0,3149.374623,Employed,0
59,Male,1795.06707,7,1729.44261,Employed,0
42,Female,2610.318553,7,3551.640263,Self-Employed,0
43,Female,2514.869672,2,1787.151879,Employed,0
54,Male,3881.267905,5,2108.865305,Employed,0
18,Male,2507.22874,2,2408.329969,Employed,0
74,Male,4487.505593,5,2215.668071,Self-Employed,0
69,Male,2387.290488,1,2727.104991,Employed,0
63,Female,1645.53166,3,2055.596463,Employed,0
44,Female,5949.935773,9,4103.129485,Unemployed,0
32,Male,4083.864428,4,2465.152956,Unemployed,0
65,Male,4949.488392,1,3278.468546,Self-Employed,0
49,Male,1907.053833,2,1774.468163,Self-Employed,0
58,Male,2040.637806,0,707.349025,Self-Employed,0
18,Female,2227.136371,4,2063.102686,Self-Employed,0
52,Female,2018.083834,10,2653.402985,Employed,0
70,Female,3387.918968,5,3593.089678,Employed,0
36,Male,2571.975548,4,2166.782794,Self-Employed,0
20,Male,4144.5587,5,3181.213454,Employed,0
22,Female,2691.403523,1,1741.939722,Employed,0
31,Male,2017.544833,0,730.2215878,Self-Employed,0
53,Male,4988.444254,2,1721.06836,Unemployed,0
65,Female,1661.911619,3,2657.394006,Employed,0
55,Female,3868.817729,5,2195.481959,Unemployed,0
45,Female,4522.167464,3,1835.386799,Unemployed,0
47,Female,4207.6238,1,2283.296237,Unemployed,0
56,Male,1648.66985,4,2780.777803,Employed,0
66,Male,3283.138192,0,3143.184521,Employed,0
26,Female,4830.600468,3,2529.428715,Self-Employed,0
23,Male,1607.214253,8,1824.397234,Self-Employed,0
61,Female,3170.629826,2,3120.893236,Employed,0
26,Male,1743.31428,8,1081.051233,Self-Employed,0
58,Male,1613.517263,3,2579.020353,Unemployed,0
61,Female,3735.661484,2,2352.211953,Employed,0
64,Female,3728.154053,7,4236.832411,Employed,0
54,Female,1809.895278,3,2550.566066,Employed,0
25,Male,3088.954757,3,2061.848309,Self-Employed,0
30,Male,1715.305099,6,3440.124467,Self-Employed,0
41,Male,2358.132104,2,2346.196916,Employed,0
51,Male,4602.581586,0,2841.487846,Employed,0
47,Male,4821.179184,3,1885.615459,Unemployed,0
52,Male,3056.469204,9,2794.997238,Employed,0
56,Female,3786.849973,1,2337.364771,Employed,0
23,Female,3853.115876,3,1898.208528,Employed,0
58,Female,3845.286667,5,2206.744173,Employed,0
49,Female,3041.735761,0,1548.443597,Employed,0
33,Female,2262.958083,10,2009.408904,Employed,0
66,Male,4472.509411,2,1802.276498,Unemployed,0
50,Male,4178.876441,3,2409.854921,Employed,0
61,Female,2704.969635,2,1910.623008,Employed,0
64,Female,3335.58351,6,2847.763629,Self-Employed,0
36,Female,4418.635923,6,3357.098748,Employed,0
73,Male,3666.070223,6,2469.730978,Employed,0
62,Female,4524.17453,5,2321.509732,Self-Employed,0
66,Female,3813.635903,1,2499.88188,Employed,0
29,Female,3453.415092,0,3538.834283,Self-Employed,0
70,Male,4398.880951,4,1894.040019,Unemployed,0
53,Male,4921.67221,3,2259.462173,Unemployed,0
62,Male,4286.586606,3,2073.660231,Employed,0
43,Male,1701.045986,8,1985.912987,Self-Employed,0
64,Male,3836.864739,7,4070.107516,Employed,0
22,Female,2169.316119,1,1663.919029,Employed,0
43,Female,1948.553703,8,2049.763801,Employed,0
62,Male,4078.643211,9,3622.359728,Employed,0
54,Female,2814.524582,3,1260.416468,Unemployed,0
74,Male,3771.334214,7,4107.862815,Employed,0
70,Male,2360.562355,4,2093.968952,Self-Employed,0
33,Female,3502.929131,1,1279.190288,Unemployed,0
53,Female,3909.459743,4,1849.823795,Employed,0
23,Male,3817.215046,0,2490.636952,Unemployed,0
70,Male,4259.230888,2,2139.748159,Employed,0
62,Female,3678.602946,1,2812.980265,Employed,0
67,Female,5183.111773,2,1948.139307,Employed,0
31,Male,2941.547012,1,1210.995218,Employed,0
63,Male,3237.401972,6,1799.697408,Employed,0
51,Female,2881.37355,4,1831.579098,Self-Employed,0
51,Female,4312.819038,2,3037.239556,Employed,0
42,Female,4949.960832,5,2179.812843,Employed,0
67,Female,2926.444579,4,2544.083593,Employed,0
61,Female,3724.301987,1,2294.328777,Employed,0
19,Male,2347.282737,1,2144.818893,Employed,0
66,Male,3115.006813,3,2001.391452,Self-Employed,0
51,Female,2297.813864,6,2672.84323,Employed,0
44,Male,2260.731728,2,2593.592633,Employed,0
65,Female,3891.669606,2,2558.659838,Employed,0
67,Female,3900.721236,7,4072.951532,Employed,0
68,Female,2404.407085,4,2108.465747,Self-Employed,0
43,Male,3220.963832,4,3024.621138,Employed,0
66,Female,2300.648694,3,2349.280933,Self-Employed,0
51,Female,3065.618633,4,3193.225716,Employed,0
42,Male,3775.36282,2,2194.312939,Employed,0
66,Male,3547.409993,1,2445.189327,Employed,0
28,Male,3602.404704,1,2102.341813,Unemployed,0
27,Male,4708.394407,7,3291.286353,Unemployed,0
39,Male,3743.176601,2,1955.425755,Employed,0
21,Female,3349.498352,4,3091.505695,Employed,0
19,Male,2892.093894,6,2318.083411,Employed,0
23,Male,3222.238669,0,1691.23098,Employed,0
30,Female,2817.092996,8,3295.105271,Unemployed,0
18,Male,4821.585758,2,2026.076971,Employed,0
74,Female,4112.292016,9,3531.781986,Employed,0
62,Female,3741.295613,2,2311.470668,Employed,0
74,Male,4153.631318,0,3827.47962,Employed,0
58,Female,1866.666418,9,2235.280838,Employed,0
49,Female,1959.461432,8,2138.613384,Employed,0
40,Female,4426.798448,0,2698.090344,Employed,0
72,Female,1958.560471,9,2343.641261,Employed,0
68,Female,2652.782059,2,1819.001696,Employed,0
18,Male,1880.218723,9,2145.695039,Employed,0
67,Male,1834.466837,7,1114.322035,Self-Employed,0
19,Female,2846.835814,1,1260.133514,Employed,0
23,Female,1887.013618,9,2157.846389,Employed,0
22,Male,1818.92911,7,1590.931063,Employed,0
56,Male,2331.443259,8,2438.979623,Self-Employed,0
67,Male,4517.621329,2,1794.895666,Employed,0
67,Female,2627.597012,7,3495.232759,Self-Employed,0
21,Male,1606.461688,1,2513.211973,Employed,0
20,Male,3319.283749,4,3199.049232,Employed,0
36,Male,3240.116273,1,2063.833431,Employed,0
20,Female,2536.018536,8,2476.074518,Self-Employed,0
61,Male,4101.458817,5,3175.001809,Employed,0
23,Male,3075.152914,0,1594.901015,Employed,0
71,Female,4751.780183,5,2178.420039,Self-Employed,0
73,Male,5113.265629,2,1972.362702,Employed,0
52,Male,3594.267132,1,2086.572463,Unemployed,0
72,Male,1954.082752,4,474.7148163,Unemployed,0
33,Female,4351.004137,0,2611.446053,Employed,0
57,Male,1677.009427,1,2520.050608,Employed,0
69,Male,2900.064073,4,2587.571531,Employed,0
40,Male,3789.504808,1,2452.915343,Employed,0
22,Female,1744.705578,2,1523.221453,Employed,0
37,Male,3688.744672,1,2048.446478,Unemployed,0
45,Female,1623.021375,1,2370.983131,Self-Employed,0
65,Female,3531.581253,5,2646.775697,Employed,0
49,Male,3446.528625,6,1881.864802,Employed,0
65,Male,2507.735518,2,2193.99534,Employed,0
39,Male,3757.892123,6,1309.476439,Self-Employed,0
68,Female,2798.908957,1,1269.895266,Employed,0
34,Male,3451.520572,1,2261.896706,Employed,0
62,Male,3643.350468,4,1869.335228,Employed,0
20,Male,1918.114041,0,766.4235007,Self-Employed,0
28,Female,2041.064343,5,3086.810498,Employed,0
41,Male,3586.133018,4,1974.591228,Employed,0
19,Male,4406.313131,4,3133.124076,Unemployed,0
18,Male,3782.187258,2,2543.595984,Employed,0
66,Male,1607.302847,2,2842.577838,Employed,0
61,Male,3191.085031,0,3140.168663,Employed,0
33,Male,1690.529044,5,3472.287495,Employed,0
70,Male,2068.352483,1,2183.045822,Self-Employed,0
73,Female,3553.733656,5,2406.310868,Employed,0
22,Female,3631.932618,8,3818.291078,Self-Employed,0
70,Male,1893.594633,0,714.4500662,Self-Employed,0
49,Female,3558.502233,5,2786.551637,Employed,0
18,Female,2577.491898,2,2171.0916,Employed,0
44,Female,3361.501603,5,2033.673832,Unemployed,0
64,Female,1728.388374,7,1739.220146,Employed,0
18,Male,3748.024938,2,2258.898623,Self-Employed,0
68,Male,3479.470915,3,2442.093609,Unemployed,0
67,Female,3164.517502,10,1223.640549,Employed,0
18,Male,4793.178053,2,1923.282911,Employed,0
29,Male,1617.192145,4,2689.977958,Employed,0
35,Female,3634.106954,2,2273.264937,Employed,0
26,Female,3740.164061,5,2408.153128,Employed,0
18,Male,2176.365932,5,2974.655866,Employed,0
72,Male,3643.110583,5,3313.290154,Employed,0
58,Male,3455.834121,6,2773.577528,Self-Employed,0
19,Female,2804.906183,8,3612.392571,Unemployed,0
69,Female,2748.690669,7,3385.794171,Self-Employed,0
34,Female,5041.061443,2,2597.973312,Unemployed,0
46,Male,2655.7577,0,2002.604346,Self-Employed,0
21,Male,2957.288016,4,3442.364688,Employed,0
18,Female,2185.646309,6,1532.057417,Employed,0
55,Female,1833.917015,9,2292.549878,Employed,0
45,Male,3588.430354,6,3357.976128,Self-Employed,0
18,Male,3718.988159,2,2233.080713,Self-Employed,0
20,Male,4196.615284,2,2484.84677,Employed,0
21,Male,2490.843947,3,1994.853746,Employed,0
71,Female,3601.827773,5,2253.863274,Employed,0
62,Male,2654.171058,4,1344.654234,Self-Employed,0
66,Male,4475.749717,0,2327.31668,Employed,0
64,Female,1741.045704,3,2500.222515,Unemployed,0
23,Female,3635.49892,5,3600.265188,Employed,0
23,Female,2148.227579,8,3845.224357,Self-Employed,0
66,Male,2721.404833,1,2008.651193,Self-Employed,0
73,Male,3049.057589,4,2719.941633,Employed,0
53,Female,1605.347295,6,3269.004557,Self-Employed,0
72,Male,3140.057168,4,2581.621923,Employed,0
60,Male,3909.410015,2,2680.856317,Employed,0
19,Male,5036.195955,3,1755.060736,Unemployed,0
36,Male,2982.928375,1,2162.061852,Employed,0
72,Male,2696.426039,3,2820.692306,Employed,0
72,Female,4419.886364,8,3074.364241,Employed,0
38,Male,2910.671563,2,1493.678472,Employed,0
64,Female,3954.636058,7,2038.496313,Unemployed,0
41,Female,4772.324453,3,3062.622013,Self-Employed,0
29,Male,2567.863093,3,4108.916455,Employed,0
37,Female,3994.604713,1,2456.340444,Self-Employed,0
67,Female,4378.202398,5,2975.422076,Unemployed,0
37,Male,3352.182576,1,2062.793535,Employed,0
35,Female,3515.128807,6,1906.628746,Employed,0
22,Female,2063.670015,5,3133.669266,Employed,0
36,Male,2344.313218,9,1900.127672,Unemployed,0
58,Male,4290.889543,2,1935.409706,Unemployed,0
51,Female,3491.845869,9,3245.343072,Employed,0
19,Male,1585.252324,6,2035.549202,Self-Employed,0
64,Male,3540.877593,5,2448.035417,Employed,0
69,Female,3077.118226,0,1647.462708,Employed,0
59,Female,4676.687203,2,1794.924179,Employed,0
21,Male,2741.69082,2,1427.443972,Employed,0
57,Male,4190.732243,2,3507.350569,Employed,0
68,Female,2040.74573,5,2038.47551,Employed,0
64,Male,3629.625508,5,2364.074928,Employed,0
39,Female,3864.372428,2,2209.637366,Employed,0
65,Female,3343.856,10,1273.360032,Employed,0
40,Male,2477.230102,6,3547.141253,Employed,0
55,Female,1646.062863,4,2865.593753,Employed,0
47,Female,3749.271359,5,2281.761773,Employed,0
50,Female,4569.508627,2,1797.931438,Unemployed,0
65,Male,3083.2367,4,3161.819738,Employed,0
